"","track.id","artist.id","track.name","artist.name","track.popularity","artist.followes.total","artist.popularity","toplist.country"
"1","6hFwju6M40CKovKBPu5IpY","4m5LghDfOKFZNEBZ0GO1OQ","ACORDA PEDRINHO","Jovem Dionisio",74,126850,69,"Brazil"
"2","2qmG7dokbGpDGD0T5wORWt","37mqXU98U5GmH5ZDtlHM1c","Balanço da Rede","Matheus Fernandes",84,393870,70,"Brazil"
"3","2qmG7dokbGpDGD0T5wORWt","43DRDu6nLSeIedZ7T1A616","Balanço da Rede","Xand Avião",84,2372760,70,"Brazil"
"4","4QWumyD2uwiePBBha9XBHI","3CIIaeZuFYrAD6PRVyuO4U","No Ouvidinho","Felipe Amorim",84,225495,71,"Brazil"
"5","1K8AtBJXcdq5mywMnZuARP","7MiDcPa6UiV3In7lIM71IN","Termina Comigo Antes","Gusttavo Lima",84,16030754,79,"Brazil"
"6","3ShKPhFkexrwl7WoyTtNND","5JbQpbeFaKfuZVFzKwaawP","Tchuco Nela","MC Rogerinho",82,450296,69,"Brazil"
"7","3ShKPhFkexrwl7WoyTtNND","1AL2GKpmRrKXkYIcASuRFa","Tchuco Nela","Wesley Safadão",82,10855086,74,"Brazil"
"8","0sjhY8nPIm6cPOQfyUPmJe","3qvcCP2J0fWi0m0uQDUf6r","ERRO PLANEJADO - Ao Vivo","Luan Santana",81,6131408,75,"Brazil"
"9","0sjhY8nPIm6cPOQfyUPmJe","3p7PcrEHaaKLJnPUGOtRlT","ERRO PLANEJADO - Ao Vivo","Henrique & Juliano",81,15448371,81,"Brazil"
"10","6Zw25LRLP0j0MsezDFIUM4","1LIuN7ov1IBQDdLsU83ojl","Mal Feito - Ao Vivo","Hugo & Guilherme",72,646058,74,"Brazil"
"11","6Zw25LRLP0j0MsezDFIUM4","1yR65psqiazQpeM79CcGh8","Mal Feito - Ao Vivo","Marília Mendonça",72,24678213,82,"Brazil"
"12","3sd2p4kE7xQmFH3lPnFl6h","6rygauyIMQJrXRC4e5rQJP","sentaDONA (Remix) s2","Davi Kneip",83,22796,68,"Brazil"
"13","3sd2p4kE7xQmFH3lPnFl6h","5xKesKsXI1jv2TorLOnbbm","sentaDONA (Remix) s2","Mc Frog",83,88865,69,"Brazil"
"14","3sd2p4kE7xQmFH3lPnFl6h","6HJiLhKqnOh32p3LSNWsR3","sentaDONA (Remix) s2","Dj Gabriel do Borel",83,378933,68,"Brazil"
"15","3sd2p4kE7xQmFH3lPnFl6h","4PzYKhC14sTJNEr0dzoo0d","sentaDONA (Remix) s2","Luísa Sonza",83,3125970,73,"Brazil"
"16","6Ulh9GPYz6JKdv04qc3q2U","4JNo6Q5KdcRf1vtSX9mB0S","Dengo","João Gomes",80,3140011,74,"Brazil"
"17","7qD2vjd3btuOgwpQPEY7ci","7Lmrb6KcIzfkmgbtokjsAL","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Don Juan",77,4495730,74,"Brazil"
"18","7qD2vjd3btuOgwpQPEY7ci","3Nipsl6GVwwGyeAk0J29C6","EU VOU COM CARINHO ELA QUER COM FORÇA","MC G15",77,3626671,66,"Brazil"
"19","7qD2vjd3btuOgwpQPEY7ci","1cYhx7ZOhYoVmnDPb9KMwo","EU VOU COM CARINHO ELA QUER COM FORÇA","Mc Davi",77,3241635,70,"Brazil"
"20","546dFmvwFGBY7MJOkV5ctq","1elUiq4X7pxej6FRlrEzjM","Todo Seu - Ao Vivo","Jorge & Mateus",80,16702382,79,"Brazil"
"21","5zNxUkUW9WiV5oyg6gh2wB","5wbf52LA6kcaboHSN6NEF1","DANÇARINA","PEDRO SAMPAIO",84,1613374,72,"Brazil"
"22","5zNxUkUW9WiV5oyg6gh2wB","1etNnR2SdlelBQAICa2Q5m","DANÇARINA","Mc Pedrinho",84,3630127,71,"Brazil"
"23","3ITkrUvAA6gzxer2UIom3P","1elUiq4X7pxej6FRlrEzjM","Molhando o Volante","Jorge & Mateus",82,16702382,79,"Brazil"
"24","6bTdZ7xfKp3NqqADJ8HLyj","5nP8x4uEFjAAmDzwOEc9b8","Vampiro","Matuê",84,5122165,75,"Brazil"
"25","6bTdZ7xfKp3NqqADJ8HLyj","3MrDVzg7ZXaYMyQmbDInr7","Vampiro","WIU",84,148452,67,"Brazil"
"26","6bTdZ7xfKp3NqqADJ8HLyj","68YeXpLt3jB7JHQS5ZjMGo","Vampiro","Teto",84,1311011,74,"Brazil"
"27","4a0sqvCBo7aRIS4GzBQpnp","7htxZTR76qcXYJylEmkLiJ","Kikando e Me Olhando","MC Braz",81,81282,67,"Brazil"
"28","4a0sqvCBo7aRIS4GzBQpnp","7ujbuq6hAjLSf7cGr6au0b","Kikando e Me Olhando","MC Tairon",81,18188,64,"Brazil"
"29","4a0sqvCBo7aRIS4GzBQpnp","04NtfTeul9H9B41tPvF3MG","Kikando e Me Olhando","Dj Win",81,2726,63,"Brazil"
