"","track.id","track.name","track.popularity","toplist.country"
"1","6hFwju6M40CKovKBPu5IpY","ACORDA PEDRINHO",74,"Brazil"
"2","2qmG7dokbGpDGD0T5wORWt","Balanço da Rede",84,"Brazil"
"3","4QWumyD2uwiePBBha9XBHI","No Ouvidinho",84,"Brazil"
"4","1K8AtBJXcdq5mywMnZuARP","Termina Comigo Antes",84,"Brazil"
"5","3ShKPhFkexrwl7WoyTtNND","Tchuco Nela",82,"Brazil"
"6","0sjhY8nPIm6cPOQfyUPmJe","ERRO PLANEJADO - Ao Vivo",81,"Brazil"
"7","6Zw25LRLP0j0MsezDFIUM4","Mal Feito - Ao Vivo",72,"Brazil"
"8","3sd2p4kE7xQmFH3lPnFl6h","sentaDONA (Remix) s2",83,"Brazil"
"9","6Ulh9GPYz6JKdv04qc3q2U","Dengo",80,"Brazil"
"10","7qD2vjd3btuOgwpQPEY7ci","EU VOU COM CARINHO ELA QUER COM FORÇA",77,"Brazil"
"11","546dFmvwFGBY7MJOkV5ctq","Todo Seu - Ao Vivo",80,"Brazil"
"12","5zNxUkUW9WiV5oyg6gh2wB","DANÇARINA",84,"Brazil"
"13","3ITkrUvAA6gzxer2UIom3P","Molhando o Volante",82,"Brazil"
"14","6bTdZ7xfKp3NqqADJ8HLyj","Vampiro",84,"Brazil"
"15","4a0sqvCBo7aRIS4GzBQpnp","Kikando e Me Olhando",81,"Brazil"
"16","53RxHysDJ0cjugMcPymwja","ABALO EMOCIONAL - Ao Vivo",82,"Brazil"
"17","3XF598RmEUF3XW4XKo1lyP","Meu Número - Ao Vivo",79,"Brazil"
"18","14JKzKrJbPDflw8XyATMey","A Maior Saudade - Ao Vivo",71,"Brazil"
"19","2wSCalnGOnXdAJC0Fn8OUY","Vai Lá Em Casa Hoje",81,"Brazil"
"20","4SIBZgMomGFnrIWjmq7Np8","Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho)",81,"Brazil"
"21","6nkoWsFZeFt5dUdNmlIceh","Bloqueado - Ao Vivo",73,"Brazil"
"22","7afaZ37wJJL6880z1NRgJS","Fim de Semana no Rio",82,"Brazil"
"23","0NBgyml7T0IvUNbXIkcSpH","Malvadão 3",82,"Brazil"
"24","7bhvRvE56NHBvedx0EeALS","Comunicação Falhou - Ao Vivo",71,"Brazil"
"25","75FEaRjZTKLhTrFGsfMUXR","Running Up That Hill (A Deal With God)",87,"Brazil"
"26","2ebFBmle5uXcdbrCAOvPcZ","Vagabundo Chora - Ao Vivo",79,"Brazil"
"27","5lCAtKxkZL6tFDyGX9t87j","Eu Já Tava Bem - Ao Vivo",75,"Brazil"
"28","7gVzhRCrLRUBEGdS7zNTp0","Malvada",81,"Brazil"
"29","11fqunD6qlOCrRd88kMOk6","Evento Cancelado - Ao Vivo",74,"Brazil"
"30","0E0OENqh3jaZ4VpDFTOLGj","EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI",73,"Brazil"
"31","75fCsUnTiDelE4HMd06t4O","Gostosinho Tu Cai",79,"Brazil"
"32","42nZBOwXNdO24Ml032bLBS","Gatilho - Ao Vivo",79,"Brazil"
"33","5dFxhpYLOton7aawKsDeiS","Áudio Que Te Entrega",77,"Brazil"
"34","6Lk3kU7JcQ5dZ7jbmhJzQN","Melhor Ser uma Saudade",81,"Brazil"
"35","1ih3nbYJ0lugsku6065BC5","Me Chama de Amor - Arrochadeira Remix",76,"Brazil"
"36","2LEV3lTRxKqLBfmt5BWkLj","Não Pega Ninguém Ainda (Ao Vivo)",63,"Brazil"
"37","4NJKCE1TBC653P3dCnto0u","Simplesmente Ela",80,"Brazil"
"38","0tM4J8aID6qYZOE3e14sCj","Acordo - Ao Vivo",72,"Brazil"
"39","4Dvkj6JhhA12EX05fT7y2e","As It Was",91,"Brazil"
"40","0qYW2jULeN9giEty0ee9Fy","Botadinha Saliente",80,"Brazil"
"41","4qsOrxBv09HhNSpsgMRXdC","Esqueça-Me Se For Capaz",80,"Brazil"
"42","72g37RoelSnovZakG5MwnF","Parada Louca",78,"Brazil"
"43","3IMLoeLerS7TMpKjxUgAhx","Arranhão - Ao Vivo",71,"Brazil"
"44","6bwx7pcKJY05D9S6CVa1k6","Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus",66,"Brazil"
"45","71fwkaKdNrxiZZbkzSqmFJ","Que Rabão (feat. Mr. Catra)",79,"Brazil"
"46","0MKd4uZd8Ag8qyReZBTarP","Pino da Granada (Ao Vivo em Rio Preto)",68,"Brazil"
"47","3FkeNbs9Zeiqkr3WkbOiGp","Envolver",79,"Brazil"
"48","2IJPcsIjReWb0v4EdNuwLu","Assume a Gente - Ao Vivo",75,"Brazil"
"49","3YvE7uo4ffseBoJPh8IhHp","Presepada",78,"Brazil"
"50","3QGxgNaqaFSpORp2OVLXHR","212",79,"Brazil"
"51","75FEaRjZTKLhTrFGsfMUXR","Running Up That Hill (A Deal With God)",87,"USA"
"52","4Dvkj6JhhA12EX05fT7y2e","As It Was",91,"USA"
"53","0O6u0VJ46W86TxN9wgyqDj","I Like You (A Happier Song) (with Doja Cat)",79,"USA"
"54","1qEmFfgcLObUfQm0j1W2CK","Late Night Talking",93,"USA"
"55","6Sq7ltF9Qa7SNFBsV5Cogx","Me Porto Bonito",96,"USA"
"56","32vE1nuG8T9c8bhmZdRY6d","Cooped Up (with Roddy Ricch)",73,"USA"
"57","0wHFktze2PHC5jDt3B17DC","First Class",84,"USA"
"58","1PckUlxKqWQs3RlWXVBLw3","About Damn Time",93,"USA"
